"1","10","0","1","6","1","2019-06-25"
"2","1500","1","2","7","1","2019-06-26"
"3","2000","1","1","8","1","2019-06-26"
"4","15","0","2","9","1","2019-06-27"
"5","2000","1","1","1","6","2019-05-12"
"6","2500","1","1","9","6","2019-05-13"
"7","15","0","1","8","6","2019-05-13"
"8","1000","1","1","1","7","2019-07-19"
"9","7","0","2","17","7","2019-07-29"
"10","0","7","1","24","9","2019-07-10"
"11","2400","1","2","13","11","2019-07-20"
"12","1800","1","2","17","11","2019-07-19"
"13","30","0","2","19","11","2019-07-29"
"14","12","0","2","24","11","2019-07-24"
"15","600","1","3","27","14","2019-07-08"
"16","60","0","2","30","14","2019-07-09"
"17","30","0","1","38","14","2019-07-10"
"18","20","0","1","44","15","2019-08-03"
"19","500","1","1","46","16","2019-05-16"
"20","10","0","1","51","16","2019-05-17"
"21","499","1","1","53","16","2019-05-18"
"22","9","0","1","54","16","2019-05-16"
"23","400","1","2","58","22","2019-04-21"
"24","10","0","2","63","22","2019-04-22"
"25","9","0","2","67","22","2019-04-23"
"26","8","0","2","80","22","2019-04-24"
"27","350","1","1","82","22","2019-04-25"
"28","7","0","1","84","22","2019-04-25"
"29","250","1","1","91","22","2019-04-25"
"30","10000","1","3","12","26","2019-05-01"
"31","11000","1","2","14","26","2019-05-02"
"32","12000","1","2","21","26","2019-05-03"
"33","100","0","1","31","26","2019-05-04"
"34","110","0","1","34","26","2019-05-05"
"35","15000","1","1","35","26","2019-05-06"
"36","90","0","1","45","26","2019-05-06"
"37","150","0","1","47","26","2019-05-07"
"38","1500","1","2","49","27","2019-05-02"
"39","30","0","2","59","27","2019-05-03"
"40","10","0","2","62","27","2019-05-04"
"41","500","1","2","64","27","2019-05-05"
"42","500","1","1","65","31","2019-05-07"
"43","40","0","1","68","31","2019-05-08"
"44","550","1","1","86","31","2019-05-09"
"45","40","0","1","88","31","2019-05-17"
"46","900","1","1","89","34","2019-05-10"
"47","90","0","1","90","34","2019-05-11"
"48","80","0","1","92","34","2019-05-12"
"49","100","0","1","94","34","2019-05-13"
"50","35","0","1","95","35","2019-05-12"
"51","350","1","3","97","35","2019-05-13"
"52","400","1","2","13","35","2019-05-14"
"53","30","0","2","17","35","2019-05-15"
"54","20","0","2","19","35","2019-05-16"
"55","4000","1","2","24","36","2019-05-17"
"56","40","0","1","27","36","2019-05-18"
"57","3500","1","1","30","36","2019-05-19"
"58","4100","1","3","38","36","2019-05-26"
"59","100","0","2","44","36","2019-05-27"
"60","300","1","2","46","37","2019-05-19"
"61","30","0","2","51","37","2019-05-19"
"62","350","1","2","53","37","2019-05-29"
"63","300","1","2","54","37","2019-05-21"
"64","10","0","2","58","37","2019-05-19"
"65","100","0","1","63","46","2019-06-18"
"66","4700","1","1","67","47","2019-06-28"
"67","4800","1","1","80","51","2019-07-01"
"68","1200","1","2","82","54","2019-07-13"
"69","1300","1","2","84","55","2019-07-13"
"70","550","1","2","91","56","2019-07-06"
"71","670","1","2","12","56","2019-07-07"
"72","19","0","2","14","56","2019-07-08"
"73","10","0","2","21","56","2019-07-09"
"74","689","1","2","31","56","2019-07-10"
"75","700","1","2","34","56","2019-07-15"
"76","100","0","2","35","57","2019-07-16"
"77","2100","1","1","45","66","2019-08-04"
"78","2000","1","1","47","66","2019-08-05"
"79","200","0","1","49","67","2019-08-06"
"80","90","0","1","59","71","2019-08-19"
"81","40","0","2","62","71","2019-07-19"
"82","4000","1","2","64","71","2019-07-19"
"83","500","1","2","65","74","2019-07-09"
"84","450","1","2","68","75","2019-08-08"
"85","8","0","2","86","76","2019-05-16"
"86","5000","1","1","88","86","2019-05-11"
"87","50","2","3","89","86","2019-05-12"
"88","4700","1","1","90","86","2019-05-13"
"89","60","0","1","92","86","2019-05-14"
"90","50","0","1","94","86","2019-05-15"
"91","500","1","2","95","87","2019-07-09"
"92","3000","1","3","97","91","2019-07-09"
"93","100","0","3","1","94","2019-07-29"
"94","6000","1","2","6","95","2019-07-30"
"95","5000","1","2","7","96","2019-05-16"
"96","4000","1","2","8","96","2019-05-17"
"97","55","0","2","9","96","2019-05-18"
"98","30","0","1","1","96","2019-05-19"
"99","4500","1","2","6","96","2019-05-20"
"100","35","0","3","7","96","2019-05-21"
